review_text,cluster
"Poor customer service.The Gcash help center is of no help at all.Ive been trying to reach out for the suspension of my account to be lifted for days,Ive provided everything that was required and still nothing.It seems no one on their part is doing anything about my concern.",4.0
"The money I cashed in didn't arrived on my account, nor I can open my account again. I cleared the cache or reinstalled the app a bunch of times now and the verification code never once have arrived to my messages. Can I have a help opening my account please? I just want to know if my money did haved arrived on my account or no..",4.0
i can't buy a PayTV load.🙄,0.0
i cant register my tnt sim🤦‍♀️🤦‍♀️ i cannot receive otp🤦‍♀️🤦‍♀️ i called already both compant tnt and globe.,1.0
Always say there's an error in registration. Wouldn't let me register or make an account.,4.0
"I rarely gives feedback or ratings for application like gcash, but this app is very convenient, I hope they continue provide great services. Also, thank you for the tasks from your alipay the gives numerous rewards😍, and for some discounts. I really love this app I hope it continues to bring great opportunities to people who use this for their business and others🤍.",0.0
"I give it 1star cause I tried so many times just to verify my account and when I take a photo of my ID it always says unclear to read I think you need to update that has a menu that we can send it directly our ID not just scan, I take so many scan but it's useless it always says unclear to read please fix this problem ASAP.",1.0
G strictly because I'm not esay to successfully my acount Antel now,3.0
lack of security purposes,5.0
"Helpful kasi di ko na kailangang pumila to pay my bills. Kaso ""scammers friendly"" din ang Gcash. Bakit ko nasabi? Biktima ako(at marami pang iba) ng scammers pero hindi sila helpful para ma resolve ang problem in favor of the victims. They should implement stricter protocols so that scammers won't be able to use their services, hindi yung parang mas pinoprotektahan pa nila ang mga scammers kesa sa ming mga victims. Bale wala yung pag report ko sa kanila kaya bihira ko na ding gamitin ang GCash.",4.0
The process of verification is too slow !!!!,1.0
Save the money.can use for payments,3.0
I requested for my transactions for the past 7 days but the not only did it not show all the information but it alot also are missing. The last 3 days are not when i know there was alot,3.0
It's hard get verified cuz my TIN ID is not on the list I wish Gcash put some TIN ID verification on the list to get easier to verified like me and the other cuz it's so hard to get some government ID they need a Government ID to let you have a Government ID I think 1 star is enough for now,1.0
bring back your old alipay promotion pls yung 1k alipay vc kahit mag award fail di nako aangal.,1.0
"After the update, i can't open my account and it says that learn how to troubleshoot. I don't know the problem of this. Pls I need to access my account",2.0
Buang crazy mga disesyon sa buhay mga shet mag veripay ng akownt mag picture agad parang baliw tas mag rereklamo na blur daw blur tas pinapa ulit naman ako tas pag na ulit mag rereklamo na namn kase paulit ulit daw mga yawa pisti buang mo tanan bobo man gcash,6.0
i dont really like that u need verified to send some cash :(,5.0
My gcash app suddenly going missing and if you find it in settings cannot be open and when you try to open it in playstore uninstall is the only way to app,2.0
bigla na lng nawala tulad ng jowa mo,1.0
i can't make gcash account what's wrong i didn't get the code i try a 50 times,6.0
Experiences is verry good,3.0
I cannot verify my account because it always says that the photo of the back part of the ID is not clear and because of that I reach the maximum chances. Please fix this.,6.0
It's so hard to register now goddamn,1.0
"I used to love this app until one time upon opening it, a prompt says the app needs to be updated. After updating and exit, I can't find the app in my list of apps, but it still shows in my home screen. I tried countless times to uninstall so that I can install it again, but prompt says I have to unlock the app first which I can't because it's not included in the list of locked apps. Please help!",1.0
"I have purchased razer gold pins twice and didn't receive any codes sent to my number. Unlike when I'm using other e-wallets to purchased, transactions were instant. Other features are excellent though.",3.0
I tried many times using my National I.D to get verified but it's almost one month yet I am still not verified because of having problems like unclear photo and unclear I.D thinking that it is photocopy but it's not,4.0
I am fully verified in this apps now to update how can I get the latest version of this apps if the update did not contentious so this apps are not able to work properly,0.0
Is very nice apps payment bill easy to all transaction,4.0
I can't open my account,6.0
you can use incase of emergency,1.0
Please fix the A+ Rewards Voucher (Steam) I can't even click the redeem button it really pisses me off wondering if its still have a hope to get the steam fund that i want to be redirected by smart2pay. It's non appearable on discount vouchers lists when i making the payment.,0.0
Not good as gcash needs to uninstall and reinstall,0.0
THEY VERY UNPROFESSIONAL CUSTOMER SERVICE AND THEY SUCKS!,0.0
"I love my personal gcash because all emergency Money my gcash are helping to pay my load,to send my love someone family,friends,and etc.",0.0
Is very usefull for me to take any easy all transaction,1.0
"So good,but I'm not trying yet.",4.0
Absolutely useless when registering for a new account,3.0
Always hide in apps,1.0
"I verified my account 1 week ago but still no update if my account is verified, still view ticket.",2.0
"It's been 6 days I think I submit my ticket regarding my problem on sending money and buy load I can't use it and I have money there to cash out ,And still escalated I think no one is really trying to fix it. your servide is Sucks.",1.0
"Sana yung mga hindi pa fully verify AY WAG I mark na NON-GCASH USER, hindi tuloy makapag send ng tuloy tuloy yung magpapasa e. May name naman, sana tulad ng dati,, nakalagay parin yung name pag may magpapasa Kahit di pa verify,,, hinihintay ko lang yung I.D ko kaya Di pa makapag fully verify. At Sana rin, tulad ng dati, pag nagpasa ako my re receive parin akong text ,kung kanino ako nagpasa, at magkano na lang ang balance.",1.0
Why I can't open my gcash account!!!! I need money!!!!!,2.0
why i can't received a verification text to access my account,1.0
"Ywa sige lang kawala akong kwarta bushet, mga hakog yawa",6.0
I CAN'T CREATE MY G CASH ACC STUPID!!!!!!!,3.0
app disappears everytime on Xiaomi,4.0
"Lmfao, the scan feature is horrible when trying to verify an account. Especially at the back side.",1.0
something wrong with these apps. after i enter OTP. can't log in. always loading. yesterday until now can't log in. fix the issue. i can't log in with my account. it's more than 4days,3.0
Please add 2FA feature and other layers of protection.,2.0
Bulok G cash may Ticket pa kayu nakalaman Hindi Rin nmn na Verify 👎👎👎,0.0
Bulok scanner niyo sa id nag papa verified ako hindi gunagana ayosin niyo serbesyo niyo sa inyo pa naman pinag kakatiwala pera namin sa inyo hayst 😤,6.0
Nice to use this apps i recomment to all user thanks,3.0
Gcash is useless should globe not use gcash for loading because is too complecated i stock on it .,2.0
Why my account not verified until now?,6.0
"So pag senior citizen ka at uugod ugod na, kelangan mo pang dalhin sa villarica pawnshop ang senior citizen id mo para lang maging verified.. stupidity.",4.0
Every few days it's missing on my menu,0.0
Always error..always says technical error,1.0
My games money 🤑💰 You gcash is you good apps,1.0
Why I can't see my gcash,2.0
If I want a new MPIN when I try to enter the code it's always says expired.,5.0
Ang hirap mag verify paulit2,3.0
The new latest version of have a bug. The app icon is always disappear and I cannot open it. Also when I CHECK it to the playstore. The only buttons show is Uninstall. Pls fix the app.,6.0
"I cannot login it says ""something went wrong"" submit ticket (AR9913443) How to fix this??",4.0
Update ng update nakakayamot no di nakakatuwa,3.0
"Hello Gcash! I am helping my sister who is having trouble with your services. She deposited more than 20,000php on December 29, 2022 from GCash to Gsave but didnt go through. She already did multiple follow ups and spoke with different agents but no one was able to help her. She celebrated Holidays especially New Year without a single coin in her pocket. Nakakahiya ang service nyo! Until now, January 3, 2023 the issue has no progress.",6.0
"Can't verify using National ID, Please Fix!",1.0
Too many technical issues and the updates always ruin the app.,4.0
"i can't log in, i can't receive verification code, i treid it many times, can somebody help me here please",1.0
Sana maka login na ako,5.0
"I've been trying to open A+ rewards for 3 hours now, I've tried to uninstall and reinstall the app already. This is hurting your business",5.0
Paying bills always error,6.0
I cant install the app its still uninstalling,5.0
Plssss update thisss because it's horrible now plssss,3.0
The app just disappeared and I can't find it,0.0
Its been a month waiting to verified but still nothing happened 😡😡,0.0
This apps i love it beacuse i dont know😜😜😄🤩😄🤩😄🤩🤩😄🤩😄🤩🙃🙃👍👍👍👍👍,5.0
This application is trash. I load 2 times and I don't receive any E-Pin. I reported this issue but nothing changed. It did not even refunded my money.,3.0
"The gcash app is always missing. When i go to playstore, it says uninstall. But it's not on my apps.",3.0
Can't verify my account. I tried to but it won't let me.,3.0
Mablis ung tansaction dto,4.0
I'm a minor and I wish I could use my id instead of my parents even if I use my passport it doesn't verify,5.0
Nd ko na ma open gcash ko ..nd ko mkita sa screen app ko ..,0.0
"The app is not visible in my phone. Whenever I open the play store. Open button is not showing, only uninstall button",3.0
Good to help this app,2.0
when it comes to game credits the code takes so long and sometimes need to submit a ticket and that's hassle,3.0
King inang gcash yan laging busy kung di nmn laging update kung kelan kailangan mo mag cash in or out d pwde kasi busy or down ang network nakakairita hustle masyado tpos sa verification kelangan pa ng ID eh ikw n nga gumagamit napaka useless,0.0
Ilang buwan Ng under review pa din Ang asking account gustuhin ko man magkaroon Ng gcash d magamit Kasi kailangan fully verified ginagawa ko Naman I verify pero 4na buwan na ata d padin tapos ireview ...sana mapansin niyo naman tong comments ko antagal ko Ng nag aantay na mafully verified Hanggang ngaun pending padin,3.0
"There's always a problem when I'll take photo of the back side. It used to be easy to make gcash, but now it's too hard",3.0
.disappointing so much.😡when verifying my gcash accnt the scanner is not working well..the id is so clear..why isnt turn to blue..very disappointing😡please fix this problem,0.0
"Verifying using ID is too hard, the scanner always say that the ID is Blur even if the picture is clear. This always happen on the backside of ID. Until the app will say that try verifying tommorow. Mas maganda pa yung MAYA at Coins PH pag nag scan ng picture mabilis",1.0
is this app easy ti use..👌👌👌👌,3.0
"Giving feedback is difficult, and I have enough balance but my card gets declined. There's no transparency when there are problems on their end. It's getting annoying to use it but unfortunately, this widely used.",3.0
Its kinda annoying already tried many times but still cant log in to my account they're asking of a ticket..and i already have a ticket but still i cant log in,2.0
"I've had too many verification attempts. The front side would be okay, but when it comes to the back side, they would say otherwise even though it's already clear. I hope the system gets better so that I may be able to verify my account",3.0
Bigyan mo ako code Bobo putangina nyo,1.0
When I'm gonna log in my acc it always says submit a ticket,0.0
the app does not perform as before it keeps getting error and multiple times I have to attempt to open the app till it stole processing what happened with gcash app.. it's been like this since the last update,1.0
Great app need USA version Easy to install great price zero.,1.0
"I've done a lot of transactions, yet my Gscore has not increased. Anlabo",3.0
"Can't verified so disappointing, can't you just fix the issue of this app!?",4.0
Still haven't verified my account its been 2 years :)),1.0
Gcash please fix my gcash account I can't open may gcash I already input the ticket number but there's no changes its still can't open,4.0
Pls help me verified my account 🥺 gcash account name jc Salas lampong,5.0
I can't find the gcash app icon and open it🤬,2.0
It really helps me to pay my bills easily,1.0
"Bulok ng App nyo, mag veverify acc pero di tinatanggap kahit ano mang ID! Napakaperwisyo nyo masyado!!!",1.0
Walang ka kwenta2 apps nyu..What the hell happened to Gcash..I tried connecting gcash on playstore and I've waited for 5 resend codes already and no verification code recieve..I try to top up on Shopee but can't top up..what the hell happened..Last time all of my balance got reduced without me doing anything..,1.0
I forgot my password and what year that I put its because I'm not the legal age yet that's why I make g cash before..... Now that I need to install I can enter......,1.0
Nagdodouble ang numbers kapag nagtatype.,6.0
Return my lost money I deposited in CIMB thru your GSave! It did not reflect in my account! I deposited and I received nothing!,1.0
So hard to log in And the update you take along time so sad,1.0
this app sucks we cash in bill so that we dont carry it but sometimes this stupid app is not letting me open my acc it says were too busy what about me who needs my money for emergency use fix your app you suck,1.0
"It's very hard to verify my account since the scan feature was not working. Please fix this issue, it's seems that a lot of users have been experiencing rhe same problem.",2.0
"Dont use this app its very useless, I ""cash in"" some money and there is no notification and money I received. I even used the Reference Number but it says its wrong.",3.0
Lahat ng galaw may bayad! Goodbye Gcash! Uninstall this app guys and use Maya! Mas malaki pa ang kikitain nyo!,1.0
Doesn't want ti verify my account,1.0
I can't make a account,0.0
maganda mas madali pero now hindi ko maopin ang gcash ko why,1.0
It's good apps for money transfer and I over trusted..thank you Gcash,3.0
Seems that they're not actually working on the issues of this app. Wake up!,6.0
Unable to get verified after a hundred trial of taking a photo of National Id.,6.0
Very disappointing for processing this apps it takes a lot of time to use,1.0
"damn this app, so hard to register tsk",0.0
Subrang scam ng gcash 24k nawala samen police report daw need nila para mabalik nawala pera nung nakapag pasa kmi ng police report sabay sbi hndi n mababalik ang pera anu n gcash inside job pa dapat ipa block n tong gcash subrang scam,0.0
i cant open th3 app,2.0
Thank you two GCash,0.0
"Actually I was scam when I have a problem I need help,but I didn't know the person that I ask is not a gcash personnel they ask my pin for immediate recovery but didn't know that she is scammer.thats why I did not put money on my gcash account .because as the owner it needs ask permission from my goggle if where did I use the money .I can't get because I link with goggle that's why now, I open another account.if what will happen.because I want to become a gcash retail store.but if I observed the",3.0
May maligno yata tong Gcash bigla nalang nawawala.,3.0
This app is so great I can saving some money with this app good apps I rate this with 4 stars,0.0
"I was verifying my account but still not received any messages. It's already been month still no sms. And I want to verify my account again but still saying ""We're verifying your account"". It's already been months",0.0
"scanning an id is a dilemma for the user, you should fix that!",1.0
It's good to put load but can't understand the card even it said that's perfect your apps trash,3.0
It's very good and I felting so safe. There have no scam. If Did someone scam you so it's best would not shared your pin or password.,1.0
Not showing the app,1.0
FIX THE SCAN FOR THE VERIFICATION PROCESS. IT'S BECOMING FREAKING USELESS TBH.,3.0
"GSave-BPI ay super buggy, I regret using it. I also can't access Help > Your Tickets section kaya hindi ma-view yung status ng tickets na ni-raise ko. Kindly fix those issues please!",3.0
Help ctr is useless. Its been 3 weeks already and my ticket has no response.,4.0
What is wrong with this app? I keep trying to submit my ID countless times for almost 2 weeks now! But it could not read it. It will consistently tell me that it's blur regardless of the fact that all the details on that ID could be clearly seen in the scanner. It's so frustrating and definitely irritating! I hope you could fix this ASAP!,5.0
"It's super hard to verify an account, for much experience it took me more than 3 times trying to verify my account yet it keeps failing. Time consuming to verify an account, very disappointed with this app.",4.0
A+ rewards always in white screen . .,5.0
Biglang mawala ang icon. Tapos kapag hinanap sa apps installed ang ang makikita ay uninstalled instead of open..,5.0
I cant log in my account since i updated my gcash app.,3.0
"This apps is disappearing on my apps menu though upon checking in playstore it was already installed, disappointing apps",3.0
The app itself went missing on my phone. Needed to reinstall the app.,4.0
"I have been trying to verify my account, customer service was useless it seems that they dont know what to do.",6.0
"Ang hirap mag verify gamit national id kahit maayos namn Yung pic ayaw parin tanggapin,ano na gcash",3.0
Doesnt let me log in via phone number,6.0
"Its hard to delete messages in my inbox. Wish there was an option ""delete all""",1.0
See w see 22,2.0
Sometimes it so slow loading. But its fine,1.0
Can't even update info because of scanning issue. Always saying unclear/picture blur even if it capture perfectly.,5.0
Mas Okay yung nababasa yung name ng Pag sesendan kesa sa may asteris tutal may Sim registration naman ibalik nyo na ulit ung name at PLEASE BAKA PWEDE NYO REQUIRED YUNG PICTURE NG PROFILE para to sa mga matatanda at malabo ang mata kasi naro-wrong send sila ng pera sa kadahilan ng kalabuan ng mata at iwas scam,0.0
Ang panget ng new latest version ng gcash,0.0
"The app suddenly disappeared and when I tried to uninstall it so I can install it again, it wouldn't uninstall. It's been like this for almost a month. Hoping this gets resolved. Thank you.",6.0
very easy to pay money to my electric bill,5.0
It's so very nice to cash out and load super easy,3.0
One of the helpful apps out there!,3.0
No pldt payment bill,3.0
"i cant take a photo of the id, its always error",2.0
Bobo mag capture ng picture ng ID. Blurred daw e mas malinaw pa yung picture ko kesa sa app nyong palpak! 1 star!,4.0
"Can't verify using national ID it's been months since I first tried it. I still fail due to ""blur"" back of national id photo. You don't even give me chance to focus the picture.",2.0
BULOK PA SA BULOK PAG IVEVERIFY YUNG ACC,1.0
We don't get money somewhere else we earn it by doing our best. Look what you did many times I try to open and change my mpin still can't open the app!,0.0
Laging may problema sa bills payment option. Imbis na makapag bayad agad na le late ng payment,3.0
What happen i cant open the app,6.0
"This app is the best, i send money to the wrong person but thery refund it right away!",3.0
"Ang pangiiiiiiiit hindi ko mabuksan ang gcash ko,,,",3.0
Ggives so bad 1 day delay of payment 100 pesos penalty so very bad,1.0
"I feel frustrated today I try to verify my gcash account. Gcash, can please let the owner take the picture of the ID. I try many times uploading the photo, but you end up saying the photo sa perfectly captured yet it end up that it was blurry, how can we take the right and clear photo if you're the one control the capturing? I made many attempts and wait for the next day to verify it again. For tomorrow same situation again and again.",1.0
Sufer bilis lng gamitin,3.0
Damn app after update app is not working nor unable to access or uninstall. Been a year now not using this. Bad CS too. In fact no CS. Fix my gcash app access!,6.0
Can't transfer cash. What happened? And the verification is not working,1.0
Why is it took so long to verify my account it says that it took 7 day but I verify my account 1 month ago can you fix it?so that my account will be fully verified🙂,4.0
This is my first time to use GCash.,3.0
"It has been awful! Little to no response from your customer support. You guys cant even commit to your own timeline! 5 business days daw, pero more than 6 days na wala parin. You dont understand the urgency I wanted you guys to resolve.. Pera yung pinag uusapan dito! Pera na di ko makuha dahil you guys decided to block my account due to a report na hindi naman inembestigahan thoroughly! maayos pa ata paypal kesa sa inyo!!",4.0
ticket system is extremely slow and useless. issue with gloan and ggives over a week now but not getting any update.,6.0
Useless app. Can't verified,6.0
Why this app is disappear on my phone??? Is this how you treat your costumer service in globe gcash🙄??,2.0
It's to hard to change mpin So very disappointed to get the next step,0.0
"It's says ""need update"" all the time not convenient bad experience 👎👎👎",4.0
